id,document_id,sentence_nr,content,code,title/text,dataset,url
0,B1592,1,Fahrradstraßen in der Innenstadt,non-arg,title,CD_B,https://www.raddialog.bonn.de/dialoge/bonner-rad-dialog/fahrradstrassen-der-innenstadt
1,B1592,2,Von der markierten Ecke der Innenstadt kommt man grundsätzlich nicht gut in Richtung Osten (Adenauerallee/Belderberg).,premise,text,CD_B,https://www.raddialog.bonn.de/dialoge/bonner-rad-dialog/fahrradstrassen-der-innenstadt
2,B1592,3,"Über Regina-Pacis-Weg und Fußgängerampel ist sehr unpraktisch, aber Franziskanerstraße und Rathausgasse funktionieren auch nicht.",premise,text,CD_B,https://www.raddialog.bonn.de/dialoge/bonner-rad-dialog/fahrradstrassen-der-innenstadt
3,B1592,4,"Könnte man aus mehreren Straßen der Innenstadt (Am Hof, Rathausgasse, Wesselstraße, Am Neutor) nicht beidseitig geöffnete Fahrradstraßen machen?",mpos,text,CD_B,https://www.raddialog.bonn.de/dialoge/bonner-rad-dialog/fahrradstrassen-der-innenstadt
4,B1593,1,Radweg trifft auf Straße,premise,title,CD_B,https://www.raddialog.bonn.de/dialoge/bonner-rad-dialog/radweg-trifft-auf-strasse
5,B1593,2,"Hier wäre eine breite Einmündung ohne Bordsteinkante und Poller von Vorteil, eine Vorfahrt für Radfahrer*innen sinvoll, da dies eine stark befahrene Pendlerstrecke ist.",mpos+premise,text,CD_B,https://www.raddialog.bonn.de/dialoge/bonner-rad-dialog/radweg-trifft-auf-strasse
6,B1594,1,Engstelle führt direkt auf Gleise,premise,title,CD_B,https://www.raddialog.bonn.de/dialoge/bonner-rad-dialog/engstelle-fuehrt-direkt-auf-gleise
7,B1594,2,"Diese Stelle ist auch wenig optimal, wenn man aus der Unterführung kommt.",premise,text,CD_B,https://www.raddialog.bonn.de/dialoge/bonner-rad-dialog/engstelle-fuehrt-direkt-auf-gleise
8,B1594,3,"Es ist eng, unklar ob Fuß- oder Radweg, danach sofort Straßenbahnschienen.",premise,text,CD_B,https://www.raddialog.bonn.de/dialoge/bonner-rad-dialog/engstelle-fuehrt-direkt-auf-gleise
9,B1594,4,Die Anbindung an das Beueler Zentrum auch wenig angenehm zu fahren durch die Obere Wilhelmsstraße.,premise,text,CD_B,https://www.raddialog.bonn.de/dialoge/bonner-rad-dialog/engstelle-fuehrt-direkt-auf-gleise
10,B1595,1,Gefährliche Einmündung,premise,title,CD_B,https://www.raddialog.bonn.de/dialoge/bonner-rad-dialog/gefaehrliche-einmuendung
11,B1595,2,Eventuell würden Spiegel oder eine bessere Sicht die Situation entschärfen.,mpos,text,CD_B,https://www.raddialog.bonn.de/dialoge/bonner-rad-dialog/gefaehrliche-einmuendung
12,B1596,1,Radwege neben den Gleisen,mpos,title,CD_B,https://www.raddialog.bonn.de/dialoge/bonner-rad-dialog/radwege-neben-den-gleisen
13,B1596,2,Wegen der Straßenbahnschienen ist das Radfahren auf der Friedrich-Breuer-Straße sehr gefahrenträchtig.,premise,text,CD_B,https://www.raddialog.bonn.de/dialoge/bonner-rad-dialog/radwege-neben-den-gleisen
14,B1596,3,"Wenn man die Geschäfte erreichen will, ist es leider nicht möglich auf die Nebenstraßen auszuweichen.",premise,text,CD_B,https://www.raddialog.bonn.de/dialoge/bonner-rad-dialog/radwege-neben-den-gleisen
