unit_id,sentences,code,coder1,coder2,coder3,coder4,coder5,dataset,document_id
E1452_1,1-1,mpos,intermediate concreteness,low concreteness,low concreteness,low concreteness,intermediate concreteness,CD_C,E1452
E1452_2,2-3,premise,intermediate concreteness,low concreteness,high concreteness,high concreteness,intermediate concreteness,CD_C,E1452
E1452_3,3-4,mpos,high concreteness,high concreteness,high concreteness,high concreteness,high concreteness,CD_C,E1452
E1453_1,1-1,mpos,intermediate concreteness,high concreteness,intermediate concreteness,low concreteness,intermediate concreteness,CD_C,E1453
E1453_2,2-3,premise,intermediate concreteness,intermediate concreteness,high concreteness,low concreteness,intermediate concreteness,CD_C,E1453
E1453_3,4-4,mpos,high concreteness,high concreteness,low concreteness,intermediate concreteness,intermediate concreteness,CD_C,E1453
E1454_1,1-1,mpos,low concreteness,low concreteness,intermediate concreteness,low concreteness,intermediate concreteness,CD_C,E1454
E1454_2,2-2,premise,high concreteness,high concreteness,high concreteness,high concreteness,high concreteness,CD_C,E1454
E1456_1,2-6,premise,high concreteness,high concreteness,high concreteness,high concreteness,high concreteness,CD_C,E1456
E1457_1,2-2,premise,intermediate concreteness,high concreteness,high concreteness,low concreteness,high concreteness,CD_C,E1457
E1458_1,2-3,mpos,high concreteness,high concreteness,high concreteness,high concreteness,high concreteness,CD_C,E1458
E1459_1,2-3,mpos,high concreteness,high concreteness,high concreteness,high concreteness,high concreteness,CD_C,E1459
E1460_1,1-1,premise,low concreteness,intermediate concreteness,intermediate concreteness,low concreteness,high concreteness,CD_C,E1460
E1460_2,2-2,premise,high concreteness,high concreteness,high concreteness,intermediate concreteness,high concreteness,CD_C,E1460
E1460_3,3-3,mpos,high concreteness,high concreteness,high concreteness,high concreteness,high concreteness,CD_C,E1460
E1461_1,1-1,mpos,low concreteness,low concreteness,intermediate concreteness,low concreteness,high concreteness,CD_C,E1461
E1461_2,2-2,premise,high concreteness,high concreteness,high concreteness,intermediate concreteness,high concreteness,CD_C,E1461
E1461_3,3-3,mpos,high concreteness,high concreteness,intermediate concreteness,low concreteness,high concreteness,CD_C,E1461
E1462_1,1-1,premise,low concreteness,high concreteness,intermediate concreteness,intermediate concreteness,high concreteness,CD_C,E1462
E1462_2,2-3,premise,high concreteness,high concreteness,high concreteness,high concreteness,high concreteness,CD_C,E1462
E1462_3,4-4,mpos,high concreteness,high concreteness,high concreteness,high concreteness,high concreteness,CD_C,E1462
E1463_1,2-14,premise,high concreteness,high concreteness,high concreteness,high concreteness,high concreteness,CD_C,E1463
E1463_2,15-16,mpos,high concreteness,high concreteness,high concreteness,high concreteness,high concreteness,CD_C,E1463
E1464_1,2-4,premise,high concreteness,high concreteness,high concreteness,high concreteness,high concreteness,CD_C,E1464
E1465_1,2-2,mpos,high concreteness,high concreteness,high concreteness,high concreteness,high concreteness,CD_C,E1465
E1465_2,3-4,premise,high concreteness,high concreteness,high concreteness,high concreteness,high concreteness,CD_C,E1465
E1466_1,1-1,mpos,intermediate concreteness,high concreteness,intermediate concreteness,high concreteness,high concreteness,CD_C,E1466
E1466_2,2-2,mpos,high concreteness,high concreteness,high concreteness,high concreteness,high concreteness,CD_C,E1466
E1466_3,2-2,premise,high concreteness,high concreteness,high concreteness,high concreteness,high concreteness,CD_C,E1466
E1467_1,1-1,mpos,low concreteness,high concreteness,intermediate concreteness,intermediate concreteness,high concreteness,CD_C,E1467
E1467_2,2-2,mpos,high concreteness,high concreteness,high concreteness,high concreteness,high concreteness,CD_C,E1467
