id,document_id,sentence_nr,content,code,title/text,dataset,url
11947,E1452,1,Die Radspur auf der Fahrbahn sicherer machen,mpos,title,CD_C,https://www.raddialog-ehrenfeld.koeln/dialoge/ehrenfelder-raddialog/die-radspur-auf-der-fahrbahn-sicherer-machen
11948,E1452,2,Die Verlegung des Radverkehrs auf die Straße ist schon eine Verbesserung im Vergleich zum vorherigen Zustand.,premise,text,CD_C,https://www.raddialog-ehrenfeld.koeln/dialoge/ehrenfelder-raddialog/die-radspur-auf-der-fahrbahn-sicherer-machen
11949,E1452,3,"Der Radfahrstreifen ist aber noch zu unsicher, er sollte zu einer Protected Bike Lane ausgebaut werden.",mpos+premise,text,CD_C,https://www.raddialog-ehrenfeld.koeln/dialoge/ehrenfelder-raddialog/die-radspur-auf-der-fahrbahn-sicherer-machen
11950,E1452,4,"Deutlich rot eingefärbt, und auch mit Schwellen gegenüber der Kfz-Spur abgegrenzt werden.",mpos,text,CD_C,https://www.raddialog-ehrenfeld.koeln/dialoge/ehrenfelder-raddialog/die-radspur-auf-der-fahrbahn-sicherer-machen
11951,E1453,1,Brücke endlich bauen!,mpos,title,CD_C,https://www.raddialog-ehrenfeld.koeln/dialoge/ehrenfelder-raddialog/bruecke-endlich-bauen
11952,E1453,2,Der Neubau der Brücke über die Widdersdorfer Straße ist eigentlich längst beschlossene Sache.,premise,text,CD_C,https://www.raddialog-ehrenfeld.koeln/dialoge/ehrenfelder-raddialog/bruecke-endlich-bauen
11953,E1453,3,Eine wichtige Radwegeverbindung von Ehrenfeld in den Stadtbezirk Lindenthal.,premise,text,CD_C,https://www.raddialog-ehrenfeld.koeln/dialoge/ehrenfelder-raddialog/bruecke-endlich-bauen
11954,E1453,4,Hier sollte die Umsetzung beschleunigt werden.,mpos,text,CD_C,https://www.raddialog-ehrenfeld.koeln/dialoge/ehrenfelder-raddialog/bruecke-endlich-bauen
11955,E1454,1,Kreuzung sicherer machen,mpos,title,CD_C,https://www.raddialog-ehrenfeld.koeln/dialoge/ehrenfelder-raddialog/kreuzung-sicherer-machen
11956,E1454,2,"Durch geparkte Autos entstehen beim Abbiegen von Radfahrern oder PKWs oft gefährliche Situationen, da die Kreuzung unübersichtlich ist.",premise,text,CD_C,https://www.raddialog-ehrenfeld.koeln/dialoge/ehrenfelder-raddialog/kreuzung-sicherer-machen
11957,E1456,1,Verkehrssituation Venloer Str.,non-arg,title,CD_C,https://www.raddialog-ehrenfeld.koeln/dialoge/ehrenfelder-raddialog/verkehrssituation-venloer-str
11958,E1456,2,Die Situation auf der Venloer Str. ist für die schwachen Verkehrsteilnehmer bald nicht mehr hinnehmbar.,premise,text,CD_C,https://www.raddialog-ehrenfeld.koeln/dialoge/ehrenfelder-raddialog/verkehrssituation-venloer-str
11959,E1456,3,"Der Schutzstreifen ist viel zu schmal, zum Teil in der Gosse, wird ständig von Autos und LKW's zugeparkt, Autofahrer überholen ohne ausreichenden Abstand, ständiger Wechsel zwischen Schutzstreifen auf der Straße und Radweg auf dem Bürgersteig.",premise,text,CD_C,https://www.raddialog-ehrenfeld.koeln/dialoge/ehrenfelder-raddialog/verkehrssituation-venloer-str
11960,E1456,4,Überall fehlen Fahrrad.Absetllmöglichkeiten für normale Räder und Lastenräder.,premise,text,CD_C,https://www.raddialog-ehrenfeld.koeln/dialoge/ehrenfelder-raddialog/verkehrssituation-venloer-str
11961,E1456,5,Fußgänger haben zu wenig Möglichkeiten die Venloer Str. zu queren.,premise,text,CD_C,https://www.raddialog-ehrenfeld.koeln/dialoge/ehrenfelder-raddialog/verkehrssituation-venloer-str
11962,E1456,6,Warum werden die schwachen Verkehrsteilnehmer hier so massiv benachteiligt?,premise,text,CD_C,https://www.raddialog-ehrenfeld.koeln/dialoge/ehrenfelder-raddialog/verkehrssituation-venloer-str
11963,E1457,1,freilaufende Rechtsabbieger,non-arg,title,CD_C,https://www.raddialog-ehrenfeld.koeln/dialoge/ehrenfelder-raddialog/freilaufende-rechtsabbieger
11964,E1457,2,"freilaufende Rechtsabbeiger haben in Köln schon soviele Menschen getötet, trotzdem werden sie nicht zurückgebaut",premise,text,CD_C,https://www.raddialog-ehrenfeld.koeln/dialoge/ehrenfelder-raddialog/freilaufende-rechtsabbieger
11965,E1458,1,Ampel Ecke Venloer / Franz Greuer,non-arg,title,CD_C,https://www.raddialog-ehrenfeld.koeln/dialoge/ehrenfelder-raddialog/ampel-ecke-venloer-franz-greuer
11966,E1458,2,Die Ampel kann wegfallen und durch einen Mini-Kreisverkehr mit Zebrastreifen an den Ein-/Ausgängen ersetzt werden.,mpos,text,CD_C,https://www.raddialog-ehrenfeld.koeln/dialoge/ehrenfelder-raddialog/ampel-ecke-venloer-franz-greuer
11967,E1458,3,Damit würden Wartezeiten für Radfahrer (und Fußgänger) reduziert und ein allgemein achtsames Miteinander gefördert.,mpos,text,CD_C,https://www.raddialog-ehrenfeld.koeln/dialoge/ehrenfelder-raddialog/ampel-ecke-venloer-franz-greuer
11968,E1459,1,Ampel Vogelsanger / Grüner Weg,non-arg,title,CD_C,https://www.raddialog-ehrenfeld.koeln/dialoge/ehrenfelder-raddialog/ampel-vogelsanger-gruener-weg
11969,E1459,2,Die Ampel kann durch einen Mini-Kreisverkehr inkl. Fußgängerüberwege / Zebrastreifen ersetzt werden.,mpos,text,CD_C,https://www.raddialog-ehrenfeld.koeln/dialoge/ehrenfelder-raddialog/ampel-vogelsanger-gruener-weg
11970,E1459,3,Dadurch reduzieren sich die Wartezeiten für Fußgänger / Radfahrer.,mpos,text,CD_C,https://www.raddialog-ehrenfeld.koeln/dialoge/ehrenfelder-raddialog/ampel-vogelsanger-gruener-weg
11971,E1460,1,Aufpflasterung an abgesperrten Kreuzungen,premise,title,CD_C,https://www.raddialog-ehrenfeld.koeln/dialoge/ehrenfelder-raddialog/aufpflasterung-abgesperrten-kreuzungen
11972,E1460,2,"Die Stammstraße ist eine attraktive Radroute, allerdings an verschiedenen Kreuzungen durch Aufpflasterung nur umständlich befahrbar.",premise,text,CD_C,https://www.raddialog-ehrenfeld.koeln/dialoge/ehrenfelder-raddialog/aufpflasterung-abgesperrten-kreuzungen
11973,E1460,3,Hier könnte die Pflasterungen entfernt und durch glatten Asphalt ersetzt werden (wie es momentan an der Körnerstraße schon eingerichtet ist),mpos,text,CD_C,https://www.raddialog-ehrenfeld.koeln/dialoge/ehrenfelder-raddialog/aufpflasterung-abgesperrten-kreuzungen
11974,E1461,1,Freigabe der Hüttenstraße,mpos,title,CD_C,https://www.raddialog-ehrenfeld.koeln/dialoge/ehrenfelder-raddialog/freigabe-der-huettenstrasse
11975,E1461,2,"Die Hüttenstraße ist eine wichtige Radwegverbindung und teilweise schwer zu umfahren, allerdings für den Zweirichtungserkehr nicht freigegeben.",premise,text,CD_C,https://www.raddialog-ehrenfeld.koeln/dialoge/ehrenfelder-raddialog/freigabe-der-huettenstrasse
11976,E1461,3,Dies sollte dringend geschehen.,mpos,text,CD_C,https://www.raddialog-ehrenfeld.koeln/dialoge/ehrenfelder-raddialog/freigabe-der-huettenstrasse
11977,E1462,1,Zugeparkter Radweg,premise,title,CD_C,https://www.raddialog-ehrenfeld.koeln/dialoge/ehrenfelder-raddialog/zugeparkter-radweg
11978,E1462,2,"Hier stehen beinahe durchgehend PKW halb auf dem Gehweg und halb auf dem Radweg, wodurch man auf die Fahrbahn ausweichen muss, da man sonst mit dem Lenker gegen die Außenspiegel kommen würde.",premise,text,CD_C,https://www.raddialog-ehrenfeld.koeln/dialoge/ehrenfelder-raddialog/zugeparkter-radweg
11979,E1462,3,Eine unfassbar gefährliche Stelle.,premise,text,CD_C,https://www.raddialog-ehrenfeld.koeln/dialoge/ehrenfelder-raddialog/zugeparkter-radweg
11980,E1462,4,"Der Radweg muss dort entweder verbreitert werden, oder ein absolutes Halteverbot DURCHGESETZT werden.",mpos,text,CD_C,https://www.raddialog-ehrenfeld.koeln/dialoge/ehrenfelder-raddialog/zugeparkter-radweg
11981,E1463,1,Bahnübergang / Ampelkreuzung,non-arg,title,CD_C,https://www.raddialog-ehrenfeld.koeln/dialoge/ehrenfelder-raddialog/bahnuebergang-ampelkreuzung
11982,E1463,2,"Hallo, an dieser Kreuzung gibt es für Fahrradfahrer wirklich keinerlei Verkehrskonzept.",premise,text,CD_C,https://www.raddialog-ehrenfeld.koeln/dialoge/ehrenfelder-raddialog/bahnuebergang-ampelkreuzung
11983,E1463,3,"Ich fahre immer von der Eisenstraße in die Fröbelstraße, bzw. den umgekehrten Weg und weiß gar nicht, wie ich mich hier korrekterweise verhalten muss.",premise,text,CD_C,https://www.raddialog-ehrenfeld.koeln/dialoge/ehrenfelder-raddialog/bahnuebergang-ampelkreuzung
11984,E1463,4,Meine Taktik ist einfach die Ampel für die Fußgänger zu nutzen.,premise,text,CD_C,https://www.raddialog-ehrenfeld.koeln/dialoge/ehrenfelder-raddialog/bahnuebergang-ampelkreuzung
11985,E1463,5,Der Bahnübergang ist aber für die Fußgänger (was natürlich sinnvoll ist) mit Drängelgittern abgesperrt.,premise,text,CD_C,https://www.raddialog-ehrenfeld.koeln/dialoge/ehrenfelder-raddialog/bahnuebergang-ampelkreuzung
11986,E1463,6,Die muss man als Radfahrer kompliziert umfahren.,premise,text,CD_C,https://www.raddialog-ehrenfeld.koeln/dialoge/ehrenfelder-raddialog/bahnuebergang-ampelkreuzung
11987,E1463,7,Jemand der nicht mehr ganz so agil ist wird hier kaum die Kurve schaffen.,premise,text,CD_C,https://www.raddialog-ehrenfeld.koeln/dialoge/ehrenfelder-raddialog/bahnuebergang-ampelkreuzung
11988,E1463,8,Hier ist auch keinerlei Platz vorgesehen.,premise,text,CD_C,https://www.raddialog-ehrenfeld.koeln/dialoge/ehrenfelder-raddialog/bahnuebergang-ampelkreuzung
11989,E1463,9,"Sobald man an der Ampel Richtung Fröbelstraße steht, versperrt man mit seinem Fahrrad vollkommen den Platz.",premise,text,CD_C,https://www.raddialog-ehrenfeld.koeln/dialoge/ehrenfelder-raddialog/bahnuebergang-ampelkreuzung
11990,E1463,10,Von der Fröbelstraße aus in Richtung Eisenstraße genauso.,premise,text,CD_C,https://www.raddialog-ehrenfeld.koeln/dialoge/ehrenfelder-raddialog/bahnuebergang-ampelkreuzung
11991,E1463,11,Außerdem sind die Ampelphasen unfassbar lang (auch wenn gefühlt minutenlang keinerlei Autos kommen und an der Weinsbergstraße für diese sogar rot ist!) und man braucht 2 Ampelphasen nur um die Straße geradeaus zu überqueren.,premise,text,CD_C,https://www.raddialog-ehrenfeld.koeln/dialoge/ehrenfelder-raddialog/bahnuebergang-ampelkreuzung
11992,E1463,12,Das ist wirklich unglaublich frustrierend.,premise,text,CD_C,https://www.raddialog-ehrenfeld.koeln/dialoge/ehrenfelder-raddialog/bahnuebergang-ampelkreuzung
11993,E1463,13,Die meisten Radfahrer (eigentlich alle) überqueren die Straße einfach über die Linksabbiegespuren für die Autos.,premise,text,CD_C,https://www.raddialog-ehrenfeld.koeln/dialoge/ehrenfelder-raddialog/bahnuebergang-ampelkreuzung
11994,E1463,14,"Das ist wirklich die absolut einfachste Variante, aber ich gehe mal davon aus, dass das einfach nicht darf.",premise,text,CD_C,https://www.raddialog-ehrenfeld.koeln/dialoge/ehrenfelder-raddialog/bahnuebergang-ampelkreuzung
