unit_id,sentences,code,coder1,coder2,coder3,coder4,coder5,dataset,document_id
M1453_1,2-5,premise,high concreteness,high concreteness,high concreteness,high concreteness,high concreteness,CD_M,M1453
M1453_2,6-6,mpos,intermediate concreteness,high concreteness,high concreteness,high concreteness,high concreteness,CD_M,M1453
M1464_1,1-1,premise,low concreteness,intermediate concreteness,intermediate concreteness,low concreteness,intermediate concreteness,CD_M,M1464
M1464_2,2-3,premise,high concreteness,high concreteness,high concreteness,high concreteness,high concreteness,CD_M,M1464
M1464_3,4-4,mpos,high concreteness,high concreteness,high concreteness,high concreteness,high concreteness,CD_M,M1464
M1475_1,1-1,premise,intermediate concreteness,high concreteness,low concreteness,intermediate concreteness,high concreteness,CD_M,M1475
M1475_2,2-4,premise,high concreteness,high concreteness,high concreteness,high concreteness,high concreteness,CD_M,M1475
M1475_3,5-6,mpos,high concreteness,high concreteness,high concreteness,high concreteness,high concreteness,CD_M,M1475
M1486_1,1-1,premise,low concreteness,high concreteness,intermediate concreteness,intermediate concreteness,high concreteness,CD_M,M1486
M1486_2,3-7,premise,high concreteness,high concreteness,high concreteness,high concreteness,high concreteness,CD_M,M1486
M1486_3,8-8,mpos,high concreteness,high concreteness,high concreteness,high concreteness,high concreteness,CD_M,M1486
M1486_4,10-10,premise,intermediate concreteness,intermediate concreteness,high concreteness,intermediate concreteness,intermediate concreteness,CD_M,M1486
M1497_1,1-1,premise,low concreteness,high concreteness,low concreteness,intermediate concreteness,intermediate concreteness,CD_M,M1497
M1497_2,2-2,premise,intermediate concreteness,high concreteness,high concreteness,high concreteness,high concreteness,CD_M,M1497
M1514_1,1-1,premise,low concreteness,high concreteness,intermediate concreteness,intermediate concreteness,high concreteness,CD_M,M1514
M1514_2,2-3,premise,low concreteness,high concreteness,high concreteness,high concreteness,high concreteness,CD_M,M1514
M1527_1,1-1,premise,low concreteness,intermediate concreteness,low concreteness,intermediate concreteness,high concreteness,CD_M,M1527
M1527_2,2-2,premise,high concreteness,intermediate concreteness,intermediate concreteness,high concreteness,high concreteness,CD_M,M1527
M1538_1,2-3,premise,high concreteness,high concreteness,high concreteness,intermediate concreteness,high concreteness,CD_M,M1538
M1550_1,1-1,mpos,intermediate concreteness,high concreteness,intermediate concreteness,high concreteness,high concreteness,CD_M,M1550
M1550_2,2-4,premise,high concreteness,high concreteness,high concreteness,high concreteness,high concreteness,CD_M,M1550
M1561_1,1-1,mpos,low concreteness,high concreteness,intermediate concreteness,high concreteness,high concreteness,CD_M,M1561
M1561_2,2-3,premise,high concreteness,high concreteness,high concreteness,high concreteness,high concreteness,CD_M,M1561
M1561_3,4-4,mpos,high concreteness,high concreteness,intermediate concreteness,high concreteness,high concreteness,CD_M,M1561
M1572_1,2-2,mpos,high concreteness,high concreteness,intermediate concreteness,high concreteness,high concreteness,CD_M,M1572
M1572_2,3-4,premise,high concreteness,high concreteness,high concreteness,high concreteness,high concreteness,CD_M,M1572
M1587_1,1-1,mpos,low concreteness,intermediate concreteness,intermediate concreteness,low concreteness,intermediate concreteness,CD_M,M1587
M1587_2,2-4,premise,high concreteness,intermediate concreteness,high concreteness,high concreteness,high concreteness,CD_M,M1587
M1587_3,5-6,mpos,high concreteness,high concreteness,high concreteness,high concreteness,high concreteness,CD_M,M1587
M1587_4,7-7,premise,high concreteness,high concreteness,high concreteness,intermediate concreteness,intermediate concreteness,CD_M,M1587
M1599_1,1-1,mpos,intermediate concreteness,intermediate concreteness,intermediate concreteness,intermediate concreteness,intermediate concreteness,CD_M,M1599
M1599_2,3-6,premise,high concreteness,high concreteness,high concreteness,high concreteness,high concreteness,CD_M,M1599
M1599_3,7-8,mpos,high concreteness,high concreteness,high concreteness,intermediate concreteness,high concreteness,CD_M,M1599
M1599_4,8-8,premise,high concreteness,high concreteness,intermediate concreteness,high concreteness,intermediate concreteness,CD_M,M1599
M1613_1,2-2,premise,high concreteness,high concreteness,high concreteness,high concreteness,high concreteness,CD_M,M1613
M1624_1,1-1,mpos,intermediate concreteness,intermediate concreteness,intermediate concreteness,intermediate concreteness,high concreteness,CD_M,M1624
M1624_2,2-3,mpos,high concreteness,high concreteness,high concreteness,high concreteness,high concreteness,CD_M,M1624
M1635_1,2-4,premise,high concreteness,high concreteness,high concreteness,high concreteness,high concreteness,CD_M,M1635
M1646_1,2-4,mpos,high concreteness,high concreteness,high concreteness,high concreteness,high concreteness,CD_M,M1646
M1646_2,2-2,premise,high concreteness,intermediate concreteness,high concreteness,high concreteness,high concreteness,CD_M,M1646
M1658_1,1-1,premise,low concreteness,intermediate concreteness,intermediate concreteness,low concreteness,intermediate concreteness,CD_M,M1658
M1658_2,2-3,premise,high concreteness,high concreteness,high concreteness,high concreteness,high concreteness,CD_M,M1658
M1658_3,4-4,mpos,high concreteness,high concreteness,high concreteness,high concreteness,high concreteness,CD_M,M1658
M1658_4,5-5,premise,high concreteness,intermediate concreteness,high concreteness,high concreteness,high concreteness,CD_M,M1658
M1669_1,2-3,mpos,high concreteness,high concreteness,high concreteness,high concreteness,high concreteness,CD_M,M1669
M1669_2,3-3,premise,high concreteness,high concreteness,intermediate concreteness,high concreteness,intermediate concreteness,CD_M,M1669
M1681_1,1-1,premise,low concreteness,high concreteness,intermediate concreteness,low concreteness,high concreteness,CD_M,M1681
M1681_2,2-7,premise,high concreteness,high concreteness,high concreteness,high concreteness,high concreteness,CD_M,M1681
M1681_3,9-9,mpos,high concreteness,high concreteness,high concreteness,high concreteness,high concreteness,CD_M,M1681
M1695_1,1-1,premise,low concreteness,high concreteness,intermediate concreteness,low concreteness,intermediate concreteness,CD_M,M1695
M1695_2,2-3,premise,high concreteness,high concreteness,high concreteness,high concreteness,high concreteness,CD_M,M1695
M1706_1,2-7,premise,high concreteness,high concreteness,high concreteness,high concreteness,high concreteness,CD_M,M1706
M1719_1,1-1,premise,low concreteness,intermediate concreteness,low concreteness,low concreteness,intermediate concreteness,CD_M,M1719
M1719_2,2-3,premise,high concreteness,high concreteness,high concreteness,intermediate concreteness,high concreteness,CD_M,M1719
M1730_1,1-1,premise,low concreteness,low concreteness,intermediate concreteness,low concreteness,high concreteness,CD_M,M1730
M1730_2,2-2,premise,high concreteness,high concreteness,high concreteness,high concreteness,high concreteness,CD_M,M1730
M1741_1,1-1,premise,high concreteness,intermediate concreteness,intermediate concreteness,high concreteness,intermediate concreteness,CD_M,M1741
M1741_2,2-3,premise,high concreteness,high concreteness,high concreteness,high concreteness,high concreteness,CD_M,M1741
M1741_3,4-4,mpos,high concreteness,high concreteness,high concreteness,high concreteness,high concreteness,CD_M,M1741
M1741_4,5-5,premise,intermediate concreteness,high concreteness,intermediate concreteness,high concreteness,intermediate concreteness,CD_M,M1741
M1752_1,1-1,mpos,low concreteness,high concreteness,intermediate concreteness,high concreteness,high concreteness,CD_M,M1752
M1752_2,2-3,premise,high concreteness,high concreteness,high concreteness,high concreteness,high concreteness,CD_M,M1752
M1763_1,1-1,premise,low concreteness,intermediate concreteness,intermediate concreteness,intermediate concreteness,high concreteness,CD_M,M1763
M1763_2,2-4,premise,high concreteness,intermediate concreteness,high concreteness,high concreteness,high concreteness,CD_M,M1763
M1763_3,5-5,mpos,high concreteness,high concreteness,high concreteness,high concreteness,high concreteness,CD_M,M1763
M1774_1,1-1,premise,intermediate concreteness,intermediate concreteness,high concreteness,high concreteness,high concreteness,CD_M,M1774
M1774_2,2-3,premise,high concreteness,high concreteness,high concreteness,high concreteness,high concreteness,CD_M,M1774
M1774_3,4-4,mpos,high concreteness,high concreteness,high concreteness,high concreteness,high concreteness,CD_M,M1774
M1786_1,1-1,premise,intermediate concreteness,high concreteness,high concreteness,high concreteness,high concreteness,CD_M,M1786
M1786_2,2-8,premise,high concreteness,high concreteness,high concreteness,high concreteness,high concreteness,CD_M,M1786
M1798_1,1-1,mpos,low concreteness,high concreteness,intermediate concreteness,high concreteness,intermediate concreteness,CD_M,M1798
M1798_2,2-5,premise,high concreteness,high concreteness,high concreteness,high concreteness,high concreteness,CD_M,M1798
M1798_3,6-8,mpos,high concreteness,high concreteness,high concreteness,high concreteness,high concreteness,CD_M,M1798
M1810_1,2-2,mpos,intermediate concreteness,high concreteness,high concreteness,high concreteness,high concreteness,CD_M,M1810
M1810_2,3-6,premise,high concreteness,high concreteness,high concreteness,high concreteness,high concreteness,CD_M,M1810
M1810_3,5-5,mpos,high concreteness,high concreteness,high concreteness,high concreteness,high concreteness,CD_M,M1810
M1810_4,7-7,mpos,intermediate concreteness,intermediate concreteness,intermediate concreteness,high concreteness,high concreteness,CD_M,M1810
M1821_1,3-3,mpos,high concreteness,high concreteness,high concreteness,high concreteness,high concreteness,CD_M,M1821
M1832_1,1-1,mpos,low concreteness,high concreteness,intermediate concreteness,low concreteness,intermediate concreteness,CD_M,M1832
M1832_2,2-6,premise,high concreteness,high concreteness,high concreteness,high concreteness,high concreteness,CD_M,M1832
M1832_3,7-8,mpos,high concreteness,high concreteness,high concreteness,high concreteness,high concreteness,CD_M,M1832
M1843_1,2-3,premise,high concreteness,high concreteness,high concreteness,high concreteness,high concreteness,CD_M,M1843
M1843_2,4-7,mpos,high concreteness,high concreteness,high concreteness,high concreteness,high concreteness,CD_M,M1843
M1860_1,1-1,premise,low concreteness,low concreteness,intermediate concreteness,low concreteness,intermediate concreteness,CD_M,M1860
M1860_2,2-4,premise,high concreteness,high concreteness,high concreteness,high concreteness,high concreteness,CD_M,M1860
M1871_1,2-5,premise,high concreteness,high concreteness,high concreteness,high concreteness,high concreteness,CD_M,M1871
M1871_2,6-7,mpos,high concreteness,high concreteness,high concreteness,high concreteness,high concreteness,CD_M,M1871
M1883_1,1-1,premise,low concreteness,high concreteness,intermediate concreteness,intermediate concreteness,intermediate concreteness,CD_M,M1883
M1883_2,2-3,premise,high concreteness,high concreteness,high concreteness,high concreteness,high concreteness,CD_M,M1883
M1895_1,1-1,mpos,low concreteness,low concreteness,low concreteness,low concreteness,intermediate concreteness,CD_M,M1895
M1895_2,2-3,premise,high concreteness,high concreteness,high concreteness,high concreteness,high concreteness,CD_M,M1895
M1895_3,3-4,mpos,high concreteness,high concreteness,high concreteness,high concreteness,high concreteness,CD_M,M1895
M1895_4,5-5,premise,high concreteness,high concreteness,high concreteness,high concreteness,high concreteness,CD_M,M1895
M1906_1,2-2,premise,high concreteness,high concreteness,high concreteness,high concreteness,high concreteness,CD_M,M1906
M1912_1,1-1,premise,low concreteness,intermediate concreteness,intermediate concreteness,low concreteness,high concreteness,CD_M,M1912
M1912_2,2-4,premise,high concreteness,high concreteness,high concreteness,high concreteness,high concreteness,CD_M,M1912
M1917_1,2-5,premise,high concreteness,high concreteness,high concreteness,high concreteness,high concreteness,CD_M,M1917
M1917_2,7-7,premise,high concreteness,high concreteness,high concreteness,high concreteness,high concreteness,CD_M,M1917
M1924_1,1-1,mpos,intermediate concreteness,high concreteness,high concreteness,high concreteness,intermediate concreteness,CD_M,M1924
M1924_2,2-3,premise,low concreteness,high concreteness,high concreteness,high concreteness,high concreteness,CD_M,M1924
M1924_3,4-4,mpos,intermediate concreteness,high concreteness,high concreteness,high concreteness,intermediate concreteness,CD_M,M1924
M1929_1,1-1,premise,intermediate concreteness,high concreteness,high concreteness,high concreteness,high concreteness,CD_M,M1929
