id,document_id,sentence_nr,content,code,title/text,dataset,url
15659,M1453,1,Fahrweg /-bereich für Fahrradfahrer,non-arg,title,CD_M,https://www.raddialog.moers.de/dialoge/moerser-raddialog/fahrweg-bereich-fuer-fahrradfahrer
15660,M1453,2,Die Steinstraße ist in Moers wohl die durch Fußgänger meist frequentierteste Straße.,premise,text,CD_M,https://www.raddialog.moers.de/dialoge/moerser-raddialog/fahrweg-bereich-fuer-fahrradfahrer
15661,M1453,3,"Richtig, denn die Straße befindet sich in einer Fußgängerzone.",premise,text,CD_M,https://www.raddialog.moers.de/dialoge/moerser-raddialog/fahrweg-bereich-fuer-fahrradfahrer
15662,M1453,4,"Häufig sind dort aber auch Fahrradfahrer unterwegs, die ihre Erledigungen machen möchten.",premise,text,CD_M,https://www.raddialog.moers.de/dialoge/moerser-raddialog/fahrweg-bereich-fuer-fahrradfahrer
15663,M1453,5,"Das behindert die Fußgänger, verstehe aber auch das Bedürfnis, dort mit dem Fahrrad entlang zu fahren.",premise,text,CD_M,https://www.raddialog.moers.de/dialoge/moerser-raddialog/fahrweg-bereich-fuer-fahrradfahrer
15664,M1453,6,Warum nicht eine Art Radweg mit andersfarbigem Pflaster einrichten?,mpos,text,CD_M,https://www.raddialog.moers.de/dialoge/moerser-raddialog/fahrweg-bereich-fuer-fahrradfahrer
15695,M1464,1,Radweg ist nicht benutzbar,premise,title,CD_M,https://www.raddialog.moers.de/dialoge/moerser-raddialog/radweg-ist-nicht-benutzbar
15696,M1464,2,"Dieser Weg ist zwar als Radweg ausgeschildert, aber leider nur ein unbefestigter Pfad am Rande eines Feldes.",premise,text,CD_M,https://www.raddialog.moers.de/dialoge/moerser-raddialog/radweg-ist-nicht-benutzbar
15697,M1464,3,Je nach Jahreszeit ist der Weg zugewachsen oder versinkt im Schlamm.,premise,text,CD_M,https://www.raddialog.moers.de/dialoge/moerser-raddialog/radweg-ist-nicht-benutzbar
15698,M1464,4,Mein Vorschlag: Entweder wird die Ausweisung als Radwegs entfernt oder der Weg wird entsprechend des Minimalstandards für Radwege hergerichtet.,mpos,text,CD_M,https://www.raddialog.moers.de/dialoge/moerser-raddialog/radweg-ist-nicht-benutzbar
15740,M1475,1,Völlig unsinnige lange Rotphase,premise,title,CD_M,https://www.raddialog.moers.de/dialoge/moerser-raddialog/voellig-unsinnige-lange-rotphase
15741,M1475,2,Auf der Rheinberger Straße Fahrtrichtung Süden wird der Radwegverkehr durch die Verkehrsführung mit auf die Fußgängerampel geleitet.,premise,text,CD_M,https://www.raddialog.moers.de/dialoge/moerser-raddialog/voellig-unsinnige-lange-rotphase
15742,M1475,3,"Diese schaltet oft viel zu früh auf rot, während die parallel in Fahrtichtung Süd fahrenden Autos noch bis manchmal zu einer halben Minute grün haben (und nein, es liegt auch nicht an der Linksabbiegerphase des Gegenverkehrs: Die beginnt nämlich erst _danach_!)",premise,text,CD_M,https://www.raddialog.moers.de/dialoge/moerser-raddialog/voellig-unsinnige-lange-rotphase
15743,M1475,4,In der zeit steht ein Radfahrer völlig unsinnig an der Fußgängerampel herum (übrigens: auch Fußgänger könnten in der Zeit die Kampstraße noch locker 4-5x überqueren...) .,premise,text,CD_M,https://www.raddialog.moers.de/dialoge/moerser-raddialog/voellig-unsinnige-lange-rotphase
15744,M1475,5,"Also: Besser eine eigenständige Phase für Radler, angepasst an die Grünphase der Autos, oder aber die viel zu frühe Rotschaltung der Fußgängerampel aufheben.",mpos,text,CD_M,https://www.raddialog.moers.de/dialoge/moerser-raddialog/voellig-unsinnige-lange-rotphase
15745,M1475,6,"Oder von der Verkehrsführung her es so regeln, dass die Radler, wie eigentlich in der StVO vorgesehen, ohne Missverständnisse die gleiche Grünphase nutzen können wie die Autofahrer...",mpos,text,CD_M,https://www.raddialog.moers.de/dialoge/moerser-raddialog/voellig-unsinnige-lange-rotphase
15767,M1486,1,Übergang von Fahrradweg zur Strasse zur kurz,premise,title,CD_M,https://www.raddialog.moers.de/dialoge/moerser-raddialog/uebergang-von-fahrradweg-zur-strasse-zur-kurz
15768,M1486,2,Hallo,non-arg,text,CD_M,https://www.raddialog.moers.de/dialoge/moerser-raddialog/uebergang-von-fahrradweg-zur-strasse-zur-kurz
15769,M1486,3,"Was mich und auch viele Fahrradfahrer in Moers glaubig sehr aufstößt ,ist der Übergang vom Fahrradweg auf die Straße kurz hinter Kreuzung Hombergstr/Kleverstr Richtung Moerser Innenstadt .",premise,text,CD_M,https://www.raddialog.moers.de/dialoge/moerser-raddialog/uebergang-von-fahrradweg-zur-strasse-zur-kurz
15770,M1486,4,"Wenn man von Homberg aus kommt und das Stück(ca 5 Meter) Fahrradweg noch benutzt,dann wieder auf die Strasse zurück fährt,wird man von Autofahrern entweder abgedrängt oder sogar an gehupt .",premise,text,CD_M,https://www.raddialog.moers.de/dialoge/moerser-raddialog/uebergang-von-fahrradweg-zur-strasse-zur-kurz
15771,M1486,5,"Noch schlimmer ist es eigentlich wenn man von der Kleverstr kommen,rechts rum Richtung Moerser Innenstadt fährt.",premise,text,CD_M,https://www.raddialog.moers.de/dialoge/moerser-raddialog/uebergang-von-fahrradweg-zur-strasse-zur-kurz
15772,M1486,6,"Da die Fahrrad Ampel ein paar Sekunden früher umschaltet als die für rechts Auto Abbieger ,treffen diese meist genau an dem Übergang zur Straße auf der Hombergstr zusammen.",premise,text,CD_M,https://www.raddialog.moers.de/dialoge/moerser-raddialog/uebergang-von-fahrradweg-zur-strasse-zur-kurz
15773,M1486,7,Dort sind viele Fahrradfahrer sehr verunsichert.,premise,text,CD_M,https://www.raddialog.moers.de/dialoge/moerser-raddialog/uebergang-von-fahrradweg-zur-strasse-zur-kurz
15774,M1486,8,"Warum hat man auf kosten von Parkplätzen den Fahrradweg nicht bis zum Kreisverkehr durchgebaut,oder zu mindestens ein paar Meter weiter.",mpos,text,CD_M,https://www.raddialog.moers.de/dialoge/moerser-raddialog/uebergang-von-fahrradweg-zur-strasse-zur-kurz
15775,M1486,9,Ich finde dort müsste noch unbedingt was getan werden.,non-arg,text,CD_M,https://www.raddialog.moers.de/dialoge/moerser-raddialog/uebergang-von-fahrradweg-zur-strasse-zur-kurz
15776,M1486,10,An sonstens finde ich das Moers eigentlich sehr gute Fahrradwege hat.,premise,text,CD_M,https://www.raddialog.moers.de/dialoge/moerser-raddialog/uebergang-von-fahrradweg-zur-strasse-zur-kurz
15828,M1497,1,Fehlender Radweg,premise,title,CD_M,https://www.raddialog.moers.de/dialoge/moerser-raddialog/fehlender-radweg-0
15829,M1497,2,Fehlender Rad und Gehweg bis hoch zur Krefeld Str.,premise,text,CD_M,https://www.raddialog.moers.de/dialoge/moerser-raddialog/fehlender-radweg-0
15875,M1514,1,Linksabbiegespur für Radfahrer fehlt,premise,title,CD_M,https://www.raddialog.moers.de/dialoge/moerser-raddialog/linksabbiegespur-fuer-radfahrer-fehlt
15876,M1514,2,An der von Radfahrern viel befahrenen Kreuzung Hülsdonker/Krefelder Straße fehlt eine schnelle und sichere Linksabbiegemöglichkeit für Radfahrer.,premise,text,CD_M,https://www.raddialog.moers.de/dialoge/moerser-raddialog/linksabbiegespur-fuer-radfahrer-fehlt
15877,M1514,3,Diese müssen entweder zwei Ampelphasen am Fußgängerüberbang warten oder sich mit dem Autoverkehr einordnen.,premise,text,CD_M,https://www.raddialog.moers.de/dialoge/moerser-raddialog/linksabbiegespur-fuer-radfahrer-fehlt
15932,M1527,1,Da ist noch immer kein Radweg,premise,title,CD_M,https://www.raddialog.moers.de/dialoge/moerser-raddialog/da-ist-noch-immer-kein-radweg
15933,M1527,2,Wir warten immer noch auf ein Radweg an der Hohenweg,premise,text,CD_M,https://www.raddialog.moers.de/dialoge/moerser-raddialog/da-ist-noch-immer-kein-radweg
15934,M1527,3,Habe schon vor Jahren nachgefragt es muss wohl erst was passieren,non-arg,text,CD_M,https://www.raddialog.moers.de/dialoge/moerser-raddialog/da-ist-noch-immer-kein-radweg
15935,M1527,4,[Name entfernt],non-arg,text,CD_M,https://www.raddialog.moers.de/dialoge/moerser-raddialog/da-ist-noch-immer-kein-radweg
15977,M1538,1,Radwegebau An der L 398,non-arg,title,CD_M,https://www.raddialog.moers.de/dialoge/moerser-raddialog/radwegebau-der-l-398
15978,M1538,2,"Ein Radwegeneubau entlang der L 398 Richtung Kapellen bis in die Dorfmitte ist schon während der letzten 20 Jahre diskutiert worden, doch bis jetzt hat die Stadt Moers auf diese Bitte der Bürger nur ablehnend reagiert.",premise,text,CD_M,https://www.raddialog.moers.de/dialoge/moerser-raddialog/radwegebau-der-l-398
15979,M1538,3,"Am gesamten Stockrahmsfeld ist die Stadt im Besitz des gesamten Streifens, der für den Radwegebau nötig ist.",premise,text,CD_M,https://www.raddialog.moers.de/dialoge/moerser-raddialog/radwegebau-der-l-398
16026,M1550,1,Radweg für beide Seiten,mpos,title,CD_M,https://www.raddialog.moers.de/dialoge/moerser-raddialog/radweg-fuer-beide-seiten
16027,M1550,2,Hier fehlt der Radweg in Richtung Moers aus Rumeln kommend.,premise,text,CD_M,https://www.raddialog.moers.de/dialoge/moerser-raddialog/radweg-fuer-beide-seiten
16028,M1550,3,Eine überaus gefährliche Situation..,premise,text,CD_M,https://www.raddialog.moers.de/dialoge/moerser-raddialog/radweg-fuer-beide-seiten
16029,M1550,4,"Viele Radfahrer fahren deshalb auf der linken Seite in beiden Richtungen, obwohl der Weg zu schmal ist.",premise,text,CD_M,https://www.raddialog.moers.de/dialoge/moerser-raddialog/radweg-fuer-beide-seiten
16087,M1561,1,Bettelampeln abschaffen,mpos,title,CD_M,https://www.raddialog.moers.de/dialoge/moerser-raddialog/bettelampeln-abschaffen
16088,M1561,2,"An vielen Stellen im Moerser Stadtgebiet finden sich Ampeln, die für Fussgänger und Radfahrer nur nach Anforderung auf grün schalten; und wenn man nicht frühzeitig an der Ampel ankommt darf man lange warten, bis man endlich grün bekommt.",premise,text,CD_M,https://www.raddialog.moers.de/dialoge/moerser-raddialog/bettelampeln-abschaffen
16089,M1561,3,Als weiteres Ärgernis sind die Anforderungsschalter teilweise extrem ungünstig platziert.,premise,text,CD_M,https://www.raddialog.moers.de/dialoge/moerser-raddialog/bettelampeln-abschaffen
16090,M1561,4,Daher - Bettelampeln komplett abschaffen.,mpos,text,CD_M,https://www.raddialog.moers.de/dialoge/moerser-raddialog/bettelampeln-abschaffen
16130,M1572,1,Unterführung Orsoyer Allee Eick Ost/Eick West,non-arg,title,CD_M,https://www.raddialog.moers.de/dialoge/moerser-raddialog/unterfuehrung-orsoyer-allee-eick-osteick-west
16131,M1572,2,Radfahrweg in beide Richtungen freigeben.,mpos,text,CD_M,https://www.raddialog.moers.de/dialoge/moerser-raddialog/unterfuehrung-orsoyer-allee-eick-osteick-west
16132,M1572,3,"Es ist teilweise sehr gefährlich Richtung Eick Ost durch die Unterführung zu fahren, besonders zu Hauptverkehrszeiten.",premise,text,CD_M,https://www.raddialog.moers.de/dialoge/moerser-raddialog/unterfuehrung-orsoyer-allee-eick-osteick-west
16133,M1572,4,Auch eine ausreichende Beleuchtung fehlt.,premise,text,CD_M,https://www.raddialog.moers.de/dialoge/moerser-raddialog/unterfuehrung-orsoyer-allee-eick-osteick-west
16178,M1587,1,Ausbau Rudolf-Schloer-Weg,mpos,title,CD_M,https://www.raddialog.moers.de/dialoge/moerser-raddialog/ausbau-rudolf-schloer-weg
16179,M1587,2,"Sehr geehrte Damen und Herren, nachdem der Rückbau der Sportstätten inzwischenn abgeschlossen worden ist, wurde vor kurzem auch der Fuß- u. Radweg in Richtung Dr.-Hermann-Boschheidgen-Str. wieder herhgestellt.",premise,text,CD_M,https://www.raddialog.moers.de/dialoge/moerser-raddialog/ausbau-rudolf-schloer-weg
16180,M1587,3,Allerdings wurde versäumt den Weg regelrecht bis zur genannten Straße zu verlängern.,premise,text,CD_M,https://www.raddialog.moers.de/dialoge/moerser-raddialog/ausbau-rudolf-schloer-weg
16181,M1587,4,"Dies ist notwendig, da die vorher vorhandene Stichstraße zu den Sportstätten entfallen ist.",premise,text,CD_M,https://www.raddialog.moers.de/dialoge/moerser-raddialog/ausbau-rudolf-schloer-weg
16182,M1587,5,Bitte zügig weiterbauen.,mpos,text,CD_M,https://www.raddialog.moers.de/dialoge/moerser-raddialog/ausbau-rudolf-schloer-weg
16183,M1587,6,Am besten Fuß und Radweg soweit wie möglich trennen und die dort vorhanden gewesene Beleuchtung auch wiederherstellen!,mpos,text,CD_M,https://www.raddialog.moers.de/dialoge/moerser-raddialog/ausbau-rudolf-schloer-weg
16184,M1587,7,Es handelt sich umeineder wichtigsten Innenstadtverbindungen für Radfaherer!,premise,text,CD_M,https://www.raddialog.moers.de/dialoge/moerser-raddialog/ausbau-rudolf-schloer-weg
16185,M1587,8,Mit freundlichen Grüßen [Name entfernt],non-arg,text,CD_M,https://www.raddialog.moers.de/dialoge/moerser-raddialog/ausbau-rudolf-schloer-weg
16186,M1587,9,PS: Die erwünschte Zuordnung nach Kategorienmüsste eien Mehrfachnennung erlauben,non-arg,text,CD_M,https://www.raddialog.moers.de/dialoge/moerser-raddialog/ausbau-rudolf-schloer-weg
16232,M1599,1,genauere Radweg-Führung in Holderberg an der Ampel Rtg. Kapellen,mpos,title,CD_M,https://www.raddialog.moers.de/dialoge/moerser-raddialog/genauere-radweg-fuehrung-holderberg-der-ampel-rtg-kapellen
16233,M1599,2,Guten Tag.,non-arg,text,CD_M,https://www.raddialog.moers.de/dialoge/moerser-raddialog/genauere-radweg-fuehrung-holderberg-der-ampel-rtg-kapellen
16234,M1599,3,Auf dem Weg zum Apfelfest suchte ich einen Radweg von Moers Mitte aus Richtung Kapellen fahrend schon einmal rechts auf Höhe der Eissporthalle vergeblich.,premise,text,CD_M,https://www.raddialog.moers.de/dialoge/moerser-raddialog/genauere-radweg-fuehrung-holderberg-der-ampel-rtg-kapellen
16235,M1599,4,"Hatte mich nun an das Linksfahren gewöhnt, als ich hinter der Moerser Str. 92 an der Ampel in Holderberg plötzlich rechts einen Radweg beginnen sah.",premise,text,CD_M,https://www.raddialog.moers.de/dialoge/moerser-raddialog/genauere-radweg-fuehrung-holderberg-der-ampel-rtg-kapellen
