unit_id,sentences,code,coder1,coder2,coder3,coder4,coder5,dataset,document_id
Kmeas0_1,1-1,mpos,intermediate concreteness,intermediate concreteness,intermediate concreteness,low concreteness,intermediate concreteness,MC_K,Kmeas0
Kmeas0_2,2-4,premise,high concreteness,high concreteness,high concreteness,high concreteness,high concreteness,MC_K,Kmeas0
Kmeas0_3,5-5,mpos,intermediate concreteness,low concreteness,intermediate concreteness,low concreteness,intermediate concreteness,MC_K,Kmeas0
Kmeas0_4,9-12,mpos,high concreteness,high concreteness,high concreteness,high concreteness,high concreteness,MC_K,Kmeas0
Kmeas1_1,1-1,mpos,intermediate concreteness,intermediate concreteness,intermediate concreteness,intermediate concreteness,intermediate concreteness,MC_K,Kmeas1
Kmeas1_2,2-2,mpos,high concreteness,high concreteness,high concreteness,high concreteness,high concreteness,MC_K,Kmeas1
Kmeas2_1,1-1,mpos,high concreteness,high concreteness,intermediate concreteness,intermediate concreteness,high concreteness,MC_K,Kmeas2
Kmeas3_1,2-2,mpos,high concreteness,low concreteness,intermediate concreteness,low concreteness,intermediate concreteness,MC_K,Kmeas3
Kmeas3_2,3-3,mpos,high concreteness,high concreteness,high concreteness,high concreteness,high concreteness,MC_K,Kmeas3
Kmeas3_3,3-3,premise,high concreteness,high concreteness,high concreteness,high concreteness,high concreteness,MC_K,Kmeas3
Kmeas3_4,4-4,mpos,high concreteness,intermediate concreteness,high concreteness,high concreteness,intermediate concreteness,MC_K,Kmeas3
Kmeas3_5,5-5,mpos,high concreteness,intermediate concreteness,intermediate concreteness,high concreteness,high concreteness,MC_K,Kmeas3
Kmeas3_6,6-6,mpos,intermediate concreteness,low concreteness,intermediate concreteness,intermediate concreteness,intermediate concreteness,MC_K,Kmeas3
Kmeas3_7,7-8,mpos,high concreteness,high concreteness,high concreteness,high concreteness,high concreteness,MC_K,Kmeas3
Kmeas3_8,9-10,mpos,high concreteness,low concreteness,high concreteness,high concreteness,high concreteness,MC_K,Kmeas3
Kmeas3_9,11-11,mpos,high concreteness,high concreteness,high concreteness,intermediate concreteness,high concreteness,MC_K,Kmeas3
Kmeas3_10,12-12,mpos,high concreteness,intermediate concreteness,high concreteness,intermediate concreteness,high concreteness,MC_K,Kmeas3
Kmeas4_1,1-1,mpos,intermediate concreteness,intermediate concreteness,intermediate concreteness,intermediate concreteness,intermediate concreteness,MC_K,Kmeas4
Kmeas4_2,2-2,mpos,high concreteness,high concreteness,high concreteness,high concreteness,high concreteness,MC_K,Kmeas4
Kmeas4_3,2-2,premise,high concreteness,high concreteness,high concreteness,high concreteness,high concreteness,MC_K,Kmeas4
Kmeas5_1,1-1,mpos,intermediate concreteness,low concreteness,intermediate concreteness,intermediate concreteness,intermediate concreteness,MC_K,Kmeas5
Kmeas5_2,2-3,mpos,high concreteness,high concreteness,high concreteness,high concreteness,high concreteness,MC_K,Kmeas5
Kmeas6_1,1-1,mpos,intermediate concreteness,low concreteness,high concreteness,low concreteness,intermediate concreteness,MC_K,Kmeas6
Kmeas6_2,2-3,premise,high concreteness,intermediate concreteness,high concreteness,high concreteness,high concreteness,MC_K,Kmeas6
Kmeas6_3,4-4,mpos,intermediate concreteness,low concreteness,high concreteness,high concreteness,intermediate concreteness,MC_K,Kmeas6
Kmeas7_1,1-1,mpos,intermediate concreteness,low concreteness,intermediate concreteness,low concreteness,intermediate concreteness,MC_K,Kmeas7
Kmeas7_2,2-3,premise,high concreteness,high concreteness,high concreteness,high concreteness,high concreteness,MC_K,Kmeas7
Kmeas7_3,4-4,mpos,high concreteness,high concreteness,high concreteness,high concreteness,intermediate concreteness,MC_K,Kmeas7
Kmeas8_1,1-1,mpos,intermediate concreteness,low concreteness,intermediate concreteness,low concreteness,intermediate concreteness,MC_K,Kmeas8
Kmeas8_2,2-2,mpos,high concreteness,high concreteness,high concreteness,high concreteness,high concreteness,MC_K,Kmeas8
