unit_id,sentences,code,coder1,coder2,coder3,coder4,coder5,dataset,document_id
Boff44_1_1,1-1,premise,low concreteness,low concreteness,low concreteness,low concreteness,intermediate concreteness,CQ_B,Boff44_1
Boff61_2_1,1-1,premise,intermediate concreteness,high concreteness,high concreteness,low concreteness,high concreteness,CQ_B,Boff61_2
Boff90_1_1,1-2,mpos,high concreteness,high concreteness,high concreteness,intermediate concreteness,high concreteness,CQ_B,Boff90_1
Boff143_3_1,1-1,mpos,low concreteness,low concreteness,low concreteness,low concreteness,low concreteness,CQ_B,Boff143_3
Boff174_3_1,1-1,premise,intermediate concreteness,intermediate concreteness,intermediate concreteness,intermediate concreteness,intermediate concreteness,CQ_B,Boff174_3
Boff202_1_1,1-1,premise,intermediate concreteness,intermediate concreteness,high concreteness,high concreteness,intermediate concreteness,CQ_B,Boff202_1
Boff202_1_2,1-1,mpos,intermediate concreteness,intermediate concreteness,intermediate concreteness,intermediate concreteness,intermediate concreteness,CQ_B,Boff202_1
Boff203_1_1,1-1,premise,low concreteness,low concreteness,low concreteness,low concreteness,low concreteness,CQ_B,Boff203_1
Boff231_2_1,1-1,premise,low concreteness,low concreteness,low concreteness,low concreteness,low concreteness,CQ_B,Boff231_2
Boff248_3_1,1-1,premise,high concreteness,high concreteness,high concreteness,high concreteness,high concreteness,CQ_B,Boff248_3
Boff290_1_1,1-1,premise,high concreteness,intermediate concreteness,high concreteness,intermediate concreteness,high concreteness,CQ_B,Boff290_1
Boff292_1_1,1-1,mpos,low concreteness,low concreteness,intermediate concreteness,low concreteness,intermediate concreteness,CQ_B,Boff292_1
Boff310_1_1,1-1,premise,intermediate concreteness,low concreteness,low concreteness,low concreteness,low concreteness,CQ_B,Boff310_1
Boff310_1_2,1-1,mpos,intermediate concreteness,high concreteness,high concreteness,high concreteness,intermediate concreteness,CQ_B,Boff310_1
Boff332_2_1,1-1,premise,high concreteness,high concreteness,intermediate concreteness,low concreteness,high concreteness,CQ_B,Boff332_2
Boff342_2_1,1-1,premise,intermediate concreteness,high concreteness,intermediate concreteness,low concreteness,high concreteness,CQ_B,Boff342_2
Boff350_1_1,1-1,premise,low concreteness,low concreteness,low concreteness,low concreteness,low concreteness,CQ_B,Boff350_1
Boff356_1_1,1-1,premise,high concreteness,high concreteness,high concreteness,intermediate concreteness,high concreteness,CQ_B,Boff356_1
Boff367_1_1,1-1,premise,intermediate concreteness,low concreteness,low concreteness,low concreteness,intermediate concreteness,CQ_B,Boff367_1
Boff421_1_1,1-1,premise,intermediate concreteness,low concreteness,intermediate concreteness,low concreteness,intermediate concreteness,CQ_B,Boff421_1
Boff421_3_1,1-1,premise,high concreteness,high concreteness,intermediate concreteness,intermediate concreteness,high concreteness,CQ_B,Boff421_3
Boff460_1_1,1-1,premise,intermediate concreteness,intermediate concreteness,intermediate concreteness,low concreteness,high concreteness,CQ_B,Boff460_1
Boff462_3_1,1-1,premise,high concreteness,high concreteness,high concreteness,high concreteness,high concreteness,CQ_B,Boff462_3
Boff467_2_1,1-1,premise,low concreteness,low concreteness,low concreteness,low concreteness,intermediate concreteness,CQ_B,Boff467_2
Boff485_2_1,1-1,premise,intermediate concreteness,high concreteness,intermediate concreteness,low concreteness,high concreteness,CQ_B,Boff485_2
Boff497_1_1,1-1,premise,low concreteness,low concreteness,low concreteness,low concreteness,low concreteness,CQ_B,Boff497_1
Boff497_1_2,1-1,mpos,low concreteness,intermediate concreteness,intermediate concreteness,low concreteness,low concreteness,CQ_B,Boff497_1
Bon22_3_1,1-1,premise,high concreteness,high concreteness,intermediate concreteness,intermediate concreteness,high concreteness,CQ_B,Bon22_3
Bon22_3_2,1-1,mpos,high concreteness,high concreteness,high concreteness,high concreteness,high concreteness,CQ_B,Bon22_3
Bon23_1_1,1-1,premise,high concreteness,high concreteness,intermediate concreteness,low concreteness,high concreteness,CQ_B,Bon23_1
Bon179_1_1,1-1,premise,low concreteness,low concreteness,low concreteness,low concreteness,low concreteness,CQ_B,Bon179_1
Bon179_2_1,1-1,premise,low concreteness,low concreteness,low concreteness,low concreteness,intermediate concreteness,CQ_B,Bon179_2
